"munnom","regadm","mpopul","msuperf"
"Lévis","Chaudière-Appalaches (12)",147440,498.3
"L'Île-Cadieux","Montérégie (16)",129,8.9
"L'Île-d'Anticosti","Côte-Nord (09)",199,9291.2
"L'Île-Dorval","Montréal (06)",5,0.2
"L'Île-du-Grand-Calumet","Outaouais (07)",634,147.3
"L'Île-Perrot","Montérégie (16)",11281,5.5
"Lingwick","Estrie (05)",456,249.2
"L'Isle-aux-Allumettes","Outaouais (07)",1316,210.6
"L'Isle-aux-Coudres","Capitale-Nationale (03)",1106,101
"L'Islet","Chaudière-Appalaches (12)",3787,177
"L'Isle-Verte","Bas-Saint-Laurent (01)",1279,223.5
"Litchfield","Outaouais (07)",459,213.9
"Lochaber","Outaouais (07)",431,71.8
"Lochaber-Partie-Ouest","Outaouais (07)",888,65.5
"Longue-Pointe-de-Mingan","Côte-Nord (09)",428,643.2
"Longue-Rive","Côte-Nord (09)",966,321.2
"Longueuil","Montérégie (16)",249338,122.6
"Lorraine","Laurentides (15)",9519,6
"Lorrainville","Abitibi-Témiscamingue (08)",1233,87.6
"Lotbinière","Chaudière-Appalaches (12)",791,100.2
"Louiseville","Mauricie (04)",7176,63.5
"Low","Outaouais (07)",1022,276.3
"Lyster","Centre-du-Québec (17)",1621,168.2
"Macamic","Abitibi-Témiscamingue (08)",2717,240.6
"Maddington Falls","Centre-du-Québec (17)",430,23.8
"Magog","Estrie (05)",27354,166.7
"Malartic","Abitibi-Témiscamingue (08)",3274,158.5
"Mandeville","Lanaudière (14)",2194,339.8
"Maniwaki","Outaouais (07)",3832,8.8
"Manseau","Centre-du-Québec (17)",807,107.6
"Mansfield-et-Pontefract","Outaouais (07)",2353,523.6
"Maria","Gaspésie--Îles-de-la-Madeleine (11)",2683,95.7
"Maricourt","Estrie (05)",430,62
"Marieville","Montérégie (16)",11179,62.7
"Marsoui","Gaspésie--Îles-de-la-Madeleine (11)",273,178.6
"Marston","Estrie (05)",720,79.1
"Martinville","Estrie (05)",445,48
"Mascouche","Lanaudière (14)",49466,107.6
"Maskinongé","Mauricie (04)",2347,74.2
"Massueville","Montérégie (16)",525,1.3
"Matagami","Nord-du-Québec (10)",1418,65.9
"Matane","Bas-Saint-Laurent (01)",14142,230.4
"Matapédia","Gaspésie--Îles-de-la-Madeleine (11)",618,72.8
"Mayo","Outaouais (07)",665,76.2
"McMasterville","Montérégie (16)",5909,3.4
"Melbourne","Estrie (05)",1064,173.4
"Mercier","Montérégie (16)",14337,46.5
"Messines","Outaouais (07)",1641,129.5
"Métabetchouan--Lac-à-la-Croix","Saguenay--Lac-Saint-Jean (02)",3928,193
"Métis-sur-Mer","Bas-Saint-Laurent (01)",551,266
"Milan","Estrie (05)",312,130.6
"Mille-Isles","Laurentides (15)",1622,61.9
"Mirabel","Laurentides (15)",57596,486.1
"Mistissini","Nord-du-Québec (10)",0,525.7
"Moffet","Abitibi-Témiscamingue (08)",191,427.6
"Montcalm","Laurentides (15)",625,128.5
"Mont-Carmel","Bas-Saint-Laurent (01)",1123,440.1
"Montcerf-Lytton","Outaouais (07)",628,379.7
"Montebello","Outaouais (07)",949,10.2
"Mont-Joli","Bas-Saint-Laurent (01)",6213,24.5
"Mont-Laurier","Laurentides (15)",14149,634
"Montmagny","Chaudière-Appalaches (12)",11078,145.5
"Montpellier","Outaouais (07)",1012,267.2
"Montréal","Montréal (06)",1801546,431.7
"Montréal-Est","Montréal (06)",4012,14
"Montréal-Ouest","Montréal (06)",5287,1.4
"Mont-Royal","Montréal (06)",22027,7.5
"Mont-Saint-Grégoire","Montérégie (16)",3203,81.2
"Mont-Saint-Hilaire","Montérégie (16)",19022,45.4
"Mont-Saint-Michel","Laurentides (15)",585,145.1
"Mont-Saint-Pierre","Gaspésie--Îles-de-la-Madeleine (11)",162,51.8
"Mont-Tremblant","Laurentides (15)",10113,248.1
"Morin-Heights","Laurentides (15)",4333,59.4
"Mulgrave-et-Derry","Outaouais (07)",359,317.9
"Murdochville","Gaspésie--Îles-de-la-Madeleine (11)",594,64.4
"Namur","Outaouais (07)",571,58
"Nantes","Estrie (05)",1413,120.3
"Napierville","Montérégie (16)",4110,4.5
"Natashquan","Côte-Nord (09)",270,695.4
"Notre-Dame-Auxiliatrice-de-Buckland","Chaudière-Appalaches (12)",757,96.8
"Notre-Dame-de-Bonsecours","Outaouais (07)",293,281.8
"Notre-Dame-du-Sacré-Coeur-d'Issoudun","Chaudière-Appalaches (12)",886,60.8
"Nédélec","Abitibi-Témiscamingue (08)",339,375.1
"Nemaska","Nord-du-Québec (10)",0,55.5
"Neuville","Capitale-Nationale (03)",4440,94.7
"New Carlisle","Gaspésie--Îles-de-la-Madeleine (11)",1410,68.1
"New Richmond","Gaspésie--Îles-de-la-Madeleine (11)",3709,199.5
"Newport","Estrie (05)",743,271.5
"Nicolet","Centre-du-Québec (17)",8454,129.3
"Nominingue","Laurentides (15)",2095,360.9
"Normandin","Saguenay--Lac-Saint-Jean (02)",3017,218.2
"Normétal","Abitibi-Témiscamingue (08)",779,55.4
"North Hatley","Estrie (05)",651,4.4
"Notre-Dame-de-Ham","Centre-du-Québec (17)",416,32
"Notre-Dame-de-la-Merci","Lanaudière (14)",937,262.5
"Notre-Dame-de-la-Paix","Outaouais (07)",644,107.4
"Notre-Dame-de-la-Salette","Outaouais (07)",786,117.9
"Notre-Dame-de-l'Île-Perrot","Montérégie (16)",11214,65.4
"Notre-Dame-de-Lorette","Saguenay--Lac-Saint-Jean (02)",179,343
"Notre-Dame-de-Lourdes","Lanaudière (14)",2909,36.2
"Notre-Dame-de-Lourdes","Centre-du-Québec (17)",697,83.6
"Notre-Dame-de-Montauban","Mauricie (04)",740,173.1
"Notre-Dame-de-Pontmain","Laurentides (15)",796,307.7
"Notre-Dame-des-Anges","Capitale-Nationale (03)",345,0
"Notre-Dame-des-Bois","Estrie (05)",960,191.5
"Notre-Dame-des-Monts","Capitale-Nationale (03)",806,57.6
"Notre-Dame-des-Neiges","Bas-Saint-Laurent (01)",1044,93.9
"Notre-Dame-des-Pins","Chaudière-Appalaches (12)",1718,25
"Notre-Dame-des-Prairies","Lanaudière (14)",9454,18.6
"Notre-Dame-des-Sept-Douleurs","Bas-Saint-Laurent (01)",35,142.8
"Notre-Dame-de-Stanbridge","Montérégie (16)",668,44
"Notre-Dame-du-Bon-Conseil","Centre-du-Québec (17)",1624,4.4
"Notre-Dame-du-Bon-Conseil","Centre-du-Québec (17)",1000,88.2
"Notre-Dame-du-Laus","Laurentides (15)",1568,961
"Notre-Dame-du-Mont-Carmel","Mauricie (04)",5970,130.6
"Notre-Dame-du-Nord","Abitibi-Témiscamingue (08)",994,89.9
"Notre-Dame-du-Portage","Bas-Saint-Laurent (01)",1159,115.7
"Notre-Dame-du-Rosaire","Chaudière-Appalaches (12)",377,165.5
"Nouvelle","Gaspésie--Îles-de-la-Madeleine (11)",1712,236.3
"Noyan","Montérégie (16)",1448,49.7
"Ogden","Estrie (05)",736,83.8
"Oka","Laurentides (15)",5852,96.5
"Orford","Estrie (05)",4666,148.2
"Ormstown","Montérégie (16)",3682,143.6
"Otter Lake","Outaouais (07)",929,493.6
"Otterburn Park","Montérégie (16)",8280,5.7
"Packington","Bas-Saint-Laurent (01)",597,123.9
"Padoue","Bas-Saint-Laurent (01)",236,67.8
"Palmarolle","Abitibi-Témiscamingue (08)",1408,135.4
"Papineauville","Outaouais (07)",2092,64.8
"Parisville","Centre-du-Québec (17)",518,35.9
"Paspébiac","Gaspésie--Îles-de-la-Madeleine (11)",3096,96.1
"Percé","Gaspésie--Îles-de-la-Madeleine (11)",3051,555
"Péribonka","Saguenay--Lac-Saint-Jean (02)",497,130.3
"Petite-Rivière-Saint-François","Capitale-Nationale (03)",851,149.9
"Petite-Vallée","Gaspésie--Îles-de-la-Madeleine (11)",174,40.8
"Petit-Saguenay","Saguenay--Lac-Saint-Jean (02)",614,339.7
"Piedmont","Laurentides (15)",3129,24.7
"Pierreville","Centre-du-Québec (17)",2192,124.8
"Pike River","Montérégie (16)",512,41.4
"Pincourt","Montérégie (16)",14968,7.1
"Piopolis","Estrie (05)",348,111.4
"Plaisance","Outaouais (07)",1102,50.1
"Plessisville","Centre-du-Québec (17)",2628,141.1
"Plessisville","Centre-du-Québec (17)",6583,4.8
"Pohénégamook","Bas-Saint-Laurent (01)",2495,351.2
"Pointe-à-la-Croix","Gaspésie--Îles-de-la-Madeleine (11)",1386,417
"Pointe-aux-Outardes","Côte-Nord (09)",1305,112.3
"Pointe-Calumet","Laurentides (15)",6477,11.7
"Pointe-Claire","Montréal (06)",33382,34.7
"Pointe-des-Cascades","Montérégie (16)",1738,10
"Pointe-Fortune","Montérégie (16)",582,9.5
"Pointe-Lebel","Côte-Nord (09)",1861,122.2
"Pontiac","Outaouais (07)",5935,503.2
"Pont-Rouge","Capitale-Nationale (03)",9874,123.7
"Portage-du-Fort","Outaouais (07)",215,4.2
